,t(fs),t(au),Field(t),Apot(t)
1377,2.872776734012612,118.7645354,0.0,0.020748948
1378,2.880396831623547,119.0795607,0.0,0.02474393275
1379,2.888016929234482,119.394586,0.0,0.02866224771
1380,2.8956370268454172,119.7096113,0.0,0.03250344666
1381,2.903257124456352,120.0246366,0.0,0.03626712443
1382,2.910877222067287,120.3396619,0.0,0.03995291661
1383,2.918497319678222,120.6546872,0.0,0.04356049912
1384,2.926117417289157,120.9697125,0.0,0.04708958788
1385,2.933737514900092,121.2847378,0.0,0.05053993836
1386,2.9413576125110272,121.5997631,0.0,0.05391134522
1387,2.9489777101219623,121.9147884,0.0,0.05720364183
1388,2.956597807732897,122.2298137,0.0,0.06041669983
1389,2.964217902924948,122.5448389,0.0,0.0635504287
1390,2.971838000535883,122.8598642,0.0,0.06660477527
1391,2.979458098146818,123.1748895,0.0,0.06957972322
1392,2.9870781957577526,123.4899148,0.0,0.07247529262
1393,2.9946982933686876,123.8049401,0.0,0.07529153935
1394,3.0023183909796227,124.1199654,0.0,0.07802855465
1395,3.0099384885905573,124.4349907,0.0,0.08068646454
1396,3.0175585862014924,124.750016,0.0,0.08326542929
1397,3.0251786838124275,125.0650413,0.0,0.08576564285
1398,3.0327987814233626,125.3800666,0.0,0.08818733231
1399,3.040418879034297,125.6950919,0.0,0.09053075728
1400,3.0480389766452323,126.0101172,0.0,0.09279620934
1401,3.0556590742561673,126.3251425,0.0,0.09498401143
1402,3.0632791718671024,126.6401678,0.0,0.09709451725
1403,3.070899267059153,126.955193,0.0,0.09912811063
1404,3.078519364670088,127.2702183,0.0,0.1010852049
1405,3.086139462281023,127.5852436,0.0,0.1029662425
1406,3.093759559891958,127.9002689,0.0,0.1047716937
1407,3.1013796575028927,128.2152942,0.0,0.1065020568
1408,3.1089997551138278,128.5303195,0.0,0.108157857
1409,3.116619852724763,128.8453448,0.0,0.1097396456
1410,3.124239950335698,129.1603701,0.0,0.1112479998
1411,3.131860047946633,129.4753954,0.0,0.1126835218
1412,3.139480145557568,129.7904207,0.0,0.114046838
1413,3.147100243168503,130.105446,0.0,0.1153385986
1414,3.154720340779438,130.4204713,0.0,0.1165594767
1415,3.162340438390373,130.7354966,0.0,0.1177101678
1416,3.169960536001308,131.0505219,0.0,0.1187913892
1417,3.177580633612243,131.3655472,0.0,0.1198038788
1418,3.1852007288042934,131.6805724,0.0,0.1207483951
1419,3.1928208264152285,131.9955977,0.0,0.121625716
1420,3.2004409240261635,132.310623,0.0,0.1224366386
1421,3.208061021637098,132.6256483,0.0,0.123181978
1422,3.2156811192480332,132.9406736,0.0,0.1238625668
1423,3.2233012168589683,133.2556989,0.0,0.1244792548
1424,3.2309213144699034,133.5707242,0.0,0.1250329076
1425,3.2385414120808385,133.8857495,0.0,0.1255244065
1426,3.2461615096917735,134.2007748,0.0,0.1259546477
1427,3.2537816073027086,134.5158001,0.0,0.1263245414
1428,3.2614017049136437,134.8308254,0.0,0.1266350112
1429,3.2690218025245787,135.1458507,0.0,0.1268869938
1430,3.276641900135514,135.460876,0.0,0.1270814377
1431,3.284261997746448,135.7759013,0.0,0.1272193031
1432,3.291882092938499,136.0909265,0.0,0.1273015607
1433,3.299502190549434,136.4059518,0.0,0.1273291917
1434,3.307122288160369,136.7209771,0.0,0.1273031864
1435,3.314742385771304,137.0360024,0.0,0.1272245442
1436,3.322362483382239,137.3510277,0.0,0.1270942725
1437,3.3299825809931742,137.666053,0.0,0.1269133863
1438,3.337602678604109,137.9810783,0.0,0.1266829075
1439,3.345222776215044,138.2961036,0.0,0.1264038641
1440,3.352842873825979,138.6111289,0.0,0.1260772901
1441,3.360462971436914,138.9261542,0.0,0.1257042241
1442,3.3680830690478487,139.2411795,0.0,0.1252857094
1443,3.3757031666587833,139.5562048,0.0,0.124822793
1444,3.3833232642697184,139.8712301,0.0,0.1243165249
1445,3.3909433618806535,140.1862554,0.0,0.1237679581
1446,3.3985634570727044,140.5012806,0.0,0.1231781472
1447,3.4061835546836394,140.8163059,0.0,0.1225481487
1448,3.4138036522945745,141.1313312,0.0,0.1218790194
1449,3.4214237499055096,141.4463565,0.0,0.1211718171
1450,3.4290438475164446,141.7613818,0.0,0.1204275987
1451,3.4366639451273797,142.0764071,0.0,0.1196474208
1452,3.444284042738315,142.3914324,0.0,0.1188323384
1453,3.451904140349249,142.7064577,0.0,0.1179834048
1454,3.459524237960184,143.021483,0.0,0.117101671
1455,3.467144335571119,143.3365083,0.0,0.116188185
1456,3.474764433182054,143.6515336,0.0,0.1152439914
1457,3.4823845307929893,143.9665589,0.0,0.114270131
1458,3.4900046284039243,144.2815842,0.0,0.1132676405
1459,3.4976247260148594,144.5966095,0.0,0.1122375515
1460,3.5052448212069103,144.9116347,0.0,0.1111808903
1461,3.512864918817845,145.22666,0.0,0.1100986779
1462,3.52048501642878,145.5416853,0.0,0.1089919287
1463,3.528105114039715,145.8567106,0.0,0.1078616508
1464,3.5357252116506497,146.1717359,0.0,0.1067088452
1465,3.5433453092615848,146.4867612,0.0,0.1055345056
1466,3.5509654068725194,146.8017865,0.0,0.1043396177
1467,3.5585855044834545,147.1168118,0.0,0.1031251593
1468,3.5662056020943895,147.4318371,0.0,0.1018920995
1469,3.5738256997053246,147.7468624,0.0,0.1006413984
1470,3.5814457973162597,148.0618877,0.0,0.09937400696
1471,3.5890658949271947,148.376913,0.0,0.09809086651
1472,3.59668599253813,148.6919383,0.0,0.09679290838
1473,3.604306090149065,149.0069636,0.0,0.09548105368
1474,3.6119261853411158,149.3219888,0.0,0.09415621291
1475,3.61954628295205,149.6370141,0.0,0.09281928572
1476,3.627166380562985,149.9520394,0.0,0.09147116058
1477,3.63478647817392,150.2670647,0.0,0.09011271454
1478,3.642406575784855,150.58209,0.0,0.08874481294
1479,3.6500266733957902,150.8971153,0.0,0.08736830914
1480,3.6576467710067253,151.2121406,0.0,0.08598404433
1481,3.6652668686176604,151.5271659,0.0,0.08459284726
1482,3.6728869662285955,151.8421912,0.0,0.08319553401
1483,3.68050706383953,152.1572165,0.0,0.0817929078
1484,3.688127161450465,152.4722418,0.0,0.08038575878
1485,3.6957472590614002,152.7872671,0.0,0.07897486386
